bad_verdicts_list,dt,publication_title_name,topics_verdicts_list,shows,ent,persons,organizations,locations,country
['Политика'],2025-10-25T10:01:24Z,Цивилев: Минэнерго ожидает ежегодный рост доли экспорта энергоресурсов в АТР,"['Экономика', 'Политика']",88953,"{'persons': [], 'organizations': ['Минэнерго', 'АТР'], 'locations': []}",[],"['Минэнерго', 'АТР']",[],[]
['Политика'],2025-10-16T00:14:43Z,"Трамп пошутил, что рассчитывает на Нобелевскую премию мира в 2026 году",[],67914,"{'persons': ['Трамп'], 'organizations': [], 'locations': []}",['Трамп'],[],[],[]
['Политика'],2025-10-19T11:03:00Z,Parisien: прокуратура Парижа начала расследование ограбления в Лувре,['Политика'],18624,"{'persons': [], 'organizations': [], 'locations': ['париж', 'лувр']}",[],[],"['париж', 'лувр']",[]
['Политика'],2025-09-15T14:09:24Z,Правительство РФ одобрило проект об усилении наказания за дезертирство,['Политика'],71846,"{'persons': [], 'organizations': [], 'locations': ['рф']}",[],[],['рф'],['RUS']
"['Желтуха', 'Политика', 'Конфликт']",2025-10-30T00:12:57Z,Пушков: экс-главком НАТО пытается втянуть Украину в альянс де-факто,"['Политика', 'Политический конфликт']",40321,"{'persons': [], 'organizations': ['НАТО'], 'locations': ['украина']}",[],['НАТО'],['украина'],['UKR']
['Политика'],2025-10-03T05:41:47Z,Страховые пенсии по старости предложили повысить в России,[],61304,"{'persons': [], 'organizations': [], 'locations': ['россия']}",[],[],['россия'],['RUS']
['Желтуха'],2025-09-17T05:35:00Z,«Тщательно скрываем»: Стоцкая раскрыла правду о родстве своих детей с Киркоровым,[],47810,"{'persons': ['Стоцкая', 'Киркоров'], 'organizations': [], 'locations': []}","['Стоцкая', 'Киркоров']",[],[],[]
['Конфликт'],2025-09-30T09:39:04Z,Российские военные развернули флаги в освобожденном Кировске,['Политический конфликт'],36662,"{'persons': [], 'organizations': [], 'locations': ['кировск']}",[],[],['кировск'],[]
[],2025-09-30T09:35:29Z,Онлайн-голосование по выбору символов для новой купюры начнется 1 октября,[],86706,"{'persons': [], 'organizations': [], 'locations': []}",[],[],[],[]
"['Желтуха', 'Политика']",2025-10-10T03:00:05Z,Остался без семьи и Родины: никому не нужный актер Кузнецов загибается заграницей,[],5095,"{'persons': ['Кузнецов'], 'organizations': [], 'locations': []}",['Кузнецов'],[],[],[]
